id,name,description,best_for,sostac_phase,file,tags
situational-router,Situational Framework Routing,"Three-layer router (Brand Maturity + AARRR Gap + Funnel Weight) selecting one of 9 playbooks with channel-framework pairings.","Determining the right tactical playbook based on brand situation; always read in full during Phase 4","Tactics (Router)",frameworks/situational-router.md,"router,playbook,brand-maturity,aarrr,funnel-weight,awareness-first,demand-gen,conversion-led,scale-acquisition,retention-led,monetisation-led,flywheel,plg,ltv-maximisation,efficiency-sprint"
raci-matrix,RACI Matrix,"Responsibility assignment — Responsible, Accountable, Consulted, Informed — for campaign tasks.","Assigning clear ownership; preventing bottlenecks; team role clarity","Action",frameworks/raci-matrix.md,"raci,responsibility,accountability,ownership,assignment"
agile-sprints,Agile Marketing Sprints,"Scrum-adapted 2-week marketing sprints with planning, standup, review, and retrospective.","Structuring execution into prioritised time-boxed work cycles; backlog management","Action",frameworks/agile-sprints.md,"agile,sprints,scrum,standup,retrospective,backlog"
objective-task-budgeting,Objective-and-Task Budgeting,"Bottom-up budget built by defining the objective, then costing required tasks.","Building evidence-based budgets linked directly to outcomes; cost benchmarking","Action",frameworks/objective-task-budgeting.md,"budget,objective-task,bottom-up,cost-benchmarks"
kotter-change-model,Kotter's 8-Step Change Model,"Organisational change framework for overcoming resistance to marketing plan adoption.","Addressing leadership misalignment; structural barriers to execution; organisational resistance","Action",frameworks/kotter-change-model.md,"kotter,change-management,organisational-resistance,adoption"
attribution-models,Attribution Models Comparison,"Comparison of attribution models — first-touch, last-touch, linear, time-decay, position-based, data-driven.","Selecting the right attribution model for the brand's data maturity and channel mix","Control",frameworks/attribution-models.md,"attribution,first-touch,last-touch,linear,position-based,data-driven,mmm"
north-star-metric,North Star Metric,"Single metric capturing core customer value — if it grows, revenue and retention follow.","Selecting the one metric that best predicts long-term business health; avoiding vanity metrics","Control",frameworks/north-star-metric.md,"north-star,metric,core-value,leading-metric"
leading-lagging-indicators,Leading vs. Lagging Indicators,"Pairs leading predictive indicators with lagging outcome indicators per channel.","Building dashboards that drive decisions; prediction and monitoring; channel-level indicator pairing","Control",frameworks/leading-lagging-indicators.md,"leading,lagging,indicators,dashboard,prediction,monitoring"
pdca-cycle,PDCA Cycle (Plan-Do-Check-Act),"Four-stage iterative improvement loop — Plan, Do, Check, Act — at weekly, monthly, quarterly cadences.","Establishing the operating rhythm for continuous marketing optimisation; review cadences","Control",frameworks/pdca-cycle.md,"pdca,plan-do-check-act,iteration,optimisation,cadence"
balanced-scorecard,Balanced Scorecard for Marketing,"Maps marketing KPIs across Financial, Customer, Internal Process, and Learning & Growth perspectives.","Preventing over-optimisation on financial KPIs; balancing experience and capability tracking","Control",frameworks/balanced-scorecard.md,"balanced-scorecard,financial,customer,process,learning,growth,kpi"
okr-review-cadence,OKR Review Cadence,"Structured rhythm for reviewing OKR progress — weekly, monthly, quarterly, annually.","Maintaining alignment; enabling timely course-correction; confidence scoring; retrospectives","Control",frameworks/okr-review-cadence.md,"okr,review,cadence,confidence-score,scoring,retrospective"
